Subject,Catalog Number,Title,Topic,Campus
BET,210,Business Tech & Infrastructure,,ONLN
BET,300,Venture Creation Foundations,,UW
BET,320,Entrepreneurial Strategy,,UW
BET,320,Entrepreneurial Strategy,,ONLN
BET,340,Entrepreneurial Plan & Execute,,UW
BET,350,Customer Experience Design,,ONLN
BET,400,Early Venture Marketing,,UW
BET,405,Digital Transformation,,ONLN
BET,430,Sales Fundamentals,,UW
BET,450,Leadership,,UW
BET,460,Business Negotiations,,UW
BET,580,Consulting,,UW
BIOL,130,Intro Cell Biology,,UW
BIOL,130L,Cell Biology Lab,,UW
BIOL,211,Intro Vertebrate Zoology,,UW
BIOL,220,Intro Plant Struct & Function,,UW
BIOL,239,Genetics,,UW
BIOL,240,Fundamentals of Microbiology,,ONLN
BIOL,241,Intro Applied Microbiology,,UW
BIOL,273,Human Physiol Principles 1,,UW
BIOL,280,Intro Biophysics,,UW
BIOL,302,Functional Histology,,UW
BIOL,331,Advanced Cell Biology,,UW
BIOL,335L,Molecular Biology Techniques,,UW
BIOL,341,Fundamentals of Immunology,,UW
BIOL,348L,Microbiology Methods Lab,,UW
BIOL,351,Aquatic Ecology,,UW
BIOL,355,Biology of Human Aging,,UW
BIOL,359,Evolution 1: Mechanisms,,UW
BIOL,361,Biostats & Experimental Design,,BLND
BIOL,365,Methods in Bioinformatics,,UW
BIOL,371,Animal Physiol: Evol Themes,,UW
BIOL,373,Human Physiol Principles 2,,UW
BIOL,373L,Human Physiology Lab,,UW
BIOL,383,Tropical Ecosystems,,UW
BIOL,414,Parasitology,,UW
BIOL,431,Bacterial Molecular Genetics,,UW
BIOL,432,Molecular Biotechnology 2,,UW
BIOL,441,Advances in Immunology,,UW
BIOL,442,Virology,,UW
BIOL,449,Public Health Microbiology,,UW
BIOL,450,Marine Biology,,UW
BIOL,465,Structural Bioinformatics,,UW
BIOL,475,Current Topics in Microbiology,,UW
BIOL,477L,Animal Physiol Techniques,,UW
BIOL,483,Animal Cell Biotechnology,,UW
BIOL,484,Advanced Eukaryotic Genetics,,UW
BIOL,485,Conservation Biology,,UW
BIOL,487,Computational Neuroscience,,UW
BLKST,102,Intro Black Arts/Culture/Lit,,UW
BLKST,240,Black Diasporic 1740-1900,,UW
BLKST,499,Black Entr Enterprises,,UW
BME,102,Seminar,,UW
BME,122,Data Structures & Algorithms,,UW
BME,162,Design of Biomed & Hlth Sys,,UW
BME,186,Chemistry Principles,,UW
BME,301,Seminar,,UW
BME,355,Physiological Sys Modelling,,UW
BME,361,Biomedical Engineering Design,,UW
BME,381,Biomedical Engineering Ethics,,UW
BME,393,Digital Systems,,UW
BME,393L,Digital Systems Lab,,UW
BME,399,Directed Research Project,,UW
BME,402,Seminar,,UW
BME,462,Design Workshop 3,,UW
BME,499,Elective Research Project,,UW
BME,544,Measure & Signal Processing,,UW
BME,552,Computational Biomechanics,,UW
BME,561,Biomaterials & Tissue Eng,,UW
BME,581,Ultrasound Medicine & Biology,,UW
BME,582,Biomedical Optics,,UW
BUS,111W,Understanding Bus. Env. (WLU),,WLU
BUS,121W,Crit. Thinking & Comm (WLU),,WLU
BUS,127W,Intro to Financial Acc (WLU),,WLU
BUS,127W,Intro to Financial Acc (WLU),,ONLNL
BUS,223W,Fundamentals of Finance(WLU),,WLU
BUS,231W,Business Law (WLU),,WLU
BUS,231W,Business Law (WLU),,ONLNL
BUS,247W,Managerial Accounting (WLU),,WLU
BUS,247W,Managerial Accounting (WLU),,ONLNL
BUS,252W,Intro to Marketing Mgmt (WLU),,WLU
BUS,275W,Business Decision Models (WLU),,WLU
BUS,283W,Financial Management 1 (WLU),,WLU
BUS,288W,Organizat'nal Behaviour 1(WLU),,WLU
BUS,301W,Entrepreneurial Method (WLU),,WLU
BUS,321W,Social Entrepreneurship (WLU),,WLU
BUS,331W,Business Model Creation (WLU),,WLU
BUS,352W,Intro to Marketing Mgmt (WLU),,WLU
BUS,353W,Intro Risk Mang't & Ins. (WLU),,WLU
BUS,354W,Human Resources Managemen(WLU),,WLU
BUS,354W,Human Resources Managemen(WLU),,ONLNL
BUS,357W,Taxation I (WLU),,WLU
BUS,362W,Applied Marketing (WLU),,WLU
BUS,375W,Operations Management (WLU),,WLU
BUS,387W,Intermediate Accounting 1(WLU),,WLU
BUS,393W,Financial Management 2 (WLU),,WLU
BUS,397W,Intermediate Account 2 (WLU),,WLU
BUS,398W,Organizat'nal Behaviour 2(WLU),,WLU
BUS,400W,Adv Equity Analysis 1 (WLU),,WLU
BUS,401W,Competition Case Analysis(WLU),,WLU
BUS,403W,Entrepreneurial Finance(WLU),,WLU
BUS,405W,Procurem't & Supply Mgt (WLU),,WLU
BUS,411W,Bus Strat For Sustainblty(WLU),,WLU
BUS,413W,Pers. Fin. Plan. & Manage(WLU),,WLU
BUS,414W,Occupat'l Health & Safety(WLU),,WLU
BUS,415W,Intro Mgmt Info Systems (WLU),,WLU
BUS,416W,Intnl Finance &Accounting(WLU),,WLU
BUS,418W,Strategic Human Res Plan (WLU),,WLU
BUS,419W,Property & Liabil Insur (WLU),,WLU
BUS,421W,Manage Family Enterprise(WLU),,WLU
BUS,422W,Marketing Research (WLU),,WLU
BUS,423W,"Options, Futures & Swaps(WLU)",,WLU
BUS,425W,Business Analytics (WLU),,WLU
BUS,429W,Capital Market Issues in (WLU),,WLU
BUS,432W,Consumer Behaviour (WLU),,WLU
BUS,433W,Mgmt of Financial Inst (WLU),,WLU
BUS,435W,Supply Chain Management(WLU),,WLU
BUS,443W,International Fin'l Mgt (WLU),,WLU
BUS,445W,Info Systems for Supply (WLU),,WLU
BUS,448W,Stategic Comp in Canada(WLU),,WLU
BUS,449W,Fixed Income Analysis (WLU),,WLU
BUS,451W,Law & Entrepreneurship (WLU),,WLU
BUS,452W,Marketing Strategy (WLU),,WLU
BUS,453W,Working Capital Management(WLU,,WLU
BUS,455W,Transport & Facilities (WLU),,WLU
BUS,459W,Marketing & Soc. Networks(WLU),,WLU
BUS,460W,Laurier Start-Up Fund (WLU),,WLU
BUS,461BW,Comp. Case Analysis (WLU),,WLU
BUS,462W,Business-to-Bus Marketing(WLU),,WLU
BUS,463W,Adv Corporate Finance (WLU),,WLU
BUS,464W,Labour Relations (WLU),,WLU
BUS,466W,Advanced Taxation II (WLU),,WLU
BUS,467W,Advanced Management Acct (WLU),,WLU
BUS,469W,Global Marketing Mgmt (WLU),,WLU
BUS,470W,Brand Management (WLU),,WLU
BUS,472W,Marketing Communications(WLU),,WLU
BUS,473W,Investment Management (WLU),,WLU
BUS,477W,Auditing (WLU),,WLU
BUS,479W,High-Tech Marketing (WLU),,WLU
BUS,480MW,LLM on Finance Data (WLU),,WLU
BUS,480W,Independent Research (WLU),,WLU
BUS,480ZW,Case Competition (WLU),,WLU
BUS,481W,Strategic Management I (WLU),,WLU
BUS,486W,Data Analytics and Acc Inf Sys,,WLU
BUS,487W,Advanced Accounting (WLU),,WLU
BUS,488W,Leadership (WLU),,WLU
BUS,489W,Int'l Organizt'l Behavior(WLU),,WLU
BUS,490W,Major Project (WLU),,WLU
BUS,491W,Strategic Management II (WLU),,WLU
BUS,493VW,Investment Strategies (WLU),,WLU
BUS,493XW,CFA Level 1 Review,,WLU
CC,325W,Crimes Against Humanity (WLU),,ONLNL
CDNST,201,Indigenous Experience Canada,,UTD
CDNST,211,Canada: Conflict & Unity,,UTD
CFM,301,Financial Data Analytics,,BLND
CHE,101,Chemical Eng Concepts 2,,UW
CHE,102,Chemistry for Engineers,,ONLN
CHE,161,Engineering Biology,,UW
CHE,181,Design Studio 2,,UW
CHE,200,Equilibrium Stage Operations,,UW
CHE,201,Seminar,,UW
CHE,220,Process Data Analysis,,UW
CHE,230,Physical Chemistry 1,,UW
CHE,290,Chemical Engineering Lab 1,,UW
CHE,298,Directed Research Project,,UW
CHE,301,Seminar,,UW
CHE,302,Seminar,,UW
CHE,312,Math of Heat & Mass Transfer,,UW
CHE,313,Applic of Heat & Mass Transfer,,UW
CHE,314,Chemical Reaction Engineering,,UW
CHE,322,Num Meth: Process Analysis,,UW
CHE,330,Chemical Eng Thermodynamics,,UW
CHE,331,Electrochemical Engineering,,UW
CHE,341,Intro Process Control,,UW
CHE,361,Bioprocess Engineering,,UW
CHE,383,Design Workshop,,UW
CHE,390,Chemical Engineering Lab 3,,UW
CHE,398,Directed Research Project,,UW
CHE,399,Directed Research Project,,UW
CHE,402,Seminar,,UW
CHE,450,Technical Work-Term Report,,UW
CHE,483,Group Dsgn Prj & Symposium,,UW
CHE,491,Chemical Engineering Lab 5,,UW
CHE,499,Elective Research Project,,UW
CHE,516,Energy Systems Engineering,,UW
CHE,520,Process Flowsheet Analysis,,UW
CHE,522,Adv Process Dynamics & Control,,UW
CHE,524,Process Control Lab,,UW
CHE,543,Polymer Production,,UW
CHE,561,Biomaterials & Tissue Eng,,UW
CHE,562,Adv Bioprocess Eng,,UW
CHE,564,Food Process Engineering,,UW
CHE,572,Air Pollution Control,,UW
CHE,574,Industrial Wastewater,,UW
CHEM,120,General Chemistry 1,,UW
CHEM,123,General Chemistry 2,,UW
